discipline_title,event_title,slug_game,medal_type,country_name,value_unit
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Italy,07:05.1
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Switzerland,07:06.6
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Germany,07:06.8
Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Brazil,07:07.7
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,GOLD,Australia,03:31.7
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,SILVER,Canada,03:33.7
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,United States of America,03:34.8
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Netherlands,03:33.5
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Great Britain,03:34.0
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Sweden,03:35.9
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,People's Republic of China,03:35.1
Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Denmark,03:35.6
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,GOLD,United States of America,03:11.3
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,SILVER,Italy,03:10.3
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Australia,03:11.9
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Canada,03:13.0
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Hungary,03:12.7
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,France,03:12.4
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,ROC,03:13.1
Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Brazil,03:12.6
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,GOLD,People's Republic of China,07:49.0
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,SILVER,United States of America,07:47.6
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Australia,07:44.6
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Canada,07:51.5
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,ROC,07:52.0
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Germany,07:52.1
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Hungary,07:56.2
Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,France,07:55.1
Athletics,Women's 4 x 400m Relay,rio-2016,GOLD,United States of America,00:03:19.060
Athletics,Women's 4 x 400m Relay,rio-2016,SILVER,Jamaica,00:03:20.340
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Great Britain,00:03:25.880
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Canada,00:03:26.430
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Italy,00:03:27.050
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Poland,00:03:27.280
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Australia,00:03:27.450
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Ukraine,00:03:27.450
Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,India,00:03:27.450
Athletics,Men's 4 x 400m Relay,rio-2016,GOLD,United States of America,00:02:57.300
Athletics,Men's 4 x 400m Relay,rio-2016,SILVER,Jamaica,00:02:58.160
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Bahamas,00:02:58.490
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Belgium,00:02:58.520
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Botswana,00:02:59.060
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Cuba,00:02:59.530
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Poland,00:03:0.500
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Brazil,00:03:3.280
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Trinidad and Tobago,00:03:3.280
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Great Britain,00:03:3.280
Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,India,00:03:3.280
Athletics,Women's 4 x 100m Relay,rio-2016,GOLD,United States of America,00:00:41.010
Athletics,Women's 4 x 100m Relay,rio-2016,SILVER,Jamaica,00:00:41.360
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Great Britain,00:00:41.770
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Germany,00:00:42.100
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Trinidad and Tobago,00:00:42.120
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Canada,00:00:43.150
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Nigeria,00:00:43.210
Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Ukraine,00:00:43.210
Athletics,Men's 4 x 100m Relay,rio-2016,GOLD,Jamaica,00:00:37.270
Athletics,Men's 4 x 100m Relay,rio-2016,SILVER,Japan,00:00:37.600
Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,Canada,00:00:37.640
Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,People's Republic of China,00:00:37.900
Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,Great Britain,00:00:37.980
Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,Brazil,00:00:38.410
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,GOLD,United States of America,00:07:0.660
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,SILVER,Great Britain,00:07:3.130
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Japan,00:07:3.500
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Australia,00:07:4.180
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Russian Federation,00:07:5.700
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Germany,00:07:7.280
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Netherlands,00:07:9.100
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Belgium,00:07:11.640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Italy,00:07:11.640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,South Africa,00:07:11.640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Spain,00:07:11.640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Denmark,00:07:11.640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,France,00:07:11.640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Brazil,00:07:11.640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Poland,00:07:11.640
Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Hungary,00:07:11.640
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,GOLD,United States of America,00:07:43.030
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,SILVER,Australia,00:07:44.870
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Canada,00:07:45.390
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,People's Republic of China,00:07:47.960
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Sweden,00:07:50.260
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Hungary,00:07:51.030
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Russian Federation,00:07:53.260
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Japan,00:07:56.760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Great Britain,00:07:56.760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,France,00:07:56.760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Brazil,00:07:56.760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Germany,00:07:56.760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Italy,00:07:56.760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Netherlands,00:07:56.760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Slovenia,00:07:56.760
Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Spain,00:07:56.760
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,GOLD,Australia,00:03:30.650
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,SILVER,United States of America,00:03:31.890
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Canada,00:03:32.890
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Netherlands,00:03:33.810
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Sweden,00:03:35.900
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Italy,00:03:36.780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,France,00:03:37.450
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Japan,00:03:37.780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,People's Republic of China,00:03:37.780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Russian Federation,00:03:37.780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Brazil,00:03:37.780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Denmark,00:03:37.780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Spain,00:03:37.780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Switzerland,00:03:37.780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Poland,00:03:37.780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Israel,00:03:37.780
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,GOLD,United States of America,00:03:9.920
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,SILVER,France,00:03:10.530
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Australia,00:03:11.370
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Russian Federation,00:03:11.640
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Brazil,00:03:13.210
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Belgium,00:03:13.570
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Canada,00:03:14.350
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Japan,00:03:14.480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Italy,00:03:14.480
Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Greece,00:03:14.480
