Race_id,discipline_title,event_title,slug_game,medal_type,country_name,value_unit
1059,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Australia,07:05.0
1060,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,United States of America,07:05.6
1061,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Italy,07:05.1
1062,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Switzerland,07:06.6
1063,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Germany,07:06.8
1064,Swimming,Men's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Brazil,07:07.7
1065,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,GOLD,Australia,03:31.7
1066,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,SILVER,Canada,03:33.7
1067,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,United States of America,03:34.8
1068,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Netherlands,03:33.5
1069,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Great Britain,03:34.0
1070,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Sweden,03:35.9
1071,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,People's Republic of China,03:35.1
1072,Swimming,Women's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Denmark,03:35.6
1073,Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,GOLD,United States of America,03:11.3
1074,Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,SILVER,Italy,03:10.3
1075,Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Australia,03:11.9
1076,Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Canada,03:13.0
1077,Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Hungary,03:12.7
1078,Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,France,03:12.4
1079,Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,ROC,03:13.1
1080,Swimming,Men's 4 x 100m Freestyle Relay,tokyo-2020,BRONZE,Brazil,03:12.6
1081,Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,GOLD,People's Republic of China,07:49.0
1082,Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,SILVER,United States of America,07:47.6
1083,Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Australia,07:44.6
1084,Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Canada,07:51.5
1085,Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,ROC,07:52.0
1086,Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Germany,07:52.1
1087,Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,Hungary,07:56.2
1088,Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,BRONZE,France,07:55.1
1089,Athletics,Women's 4 x 400m Relay,rio-2016,GOLD,United States of America,03:19.1
1090,Athletics,Women's 4 x 400m Relay,rio-2016,SILVER,Jamaica,03:20.3
1091,Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Great Britain,03:25.9
1092,Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Canada,03:26.4
1093,Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Italy,03:27.1
1094,Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Poland,03:27.3
1095,Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Australia,03:27.4
1096,Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,Ukraine,03:27.4
1097,Athletics,Women's 4 x 400m Relay,rio-2016,BRONZE,India,03:27.4
1098,Athletics,Men's 4 x 400m Relay,rio-2016,GOLD,United States of America,02:57.3
1099,Athletics,Men's 4 x 400m Relay,rio-2016,SILVER,Jamaica,02:58.2
1100,Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Bahamas,02:58.5
1101,Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Belgium,02:58.5
1102,Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Botswana,02:59.1
1103,Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Cuba,02:59.5
1104,Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Poland,03:00.5
1105,Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Brazil,03:03.3
1106,Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Trinidad and Tobago,03:03.3
1107,Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,Great Britain,03:03.3
1108,Athletics,Men's 4 x 400m Relay,rio-2016,BRONZE,India,03:03.3
1109,Athletics,Women's 4 x 100m Relay,rio-2016,GOLD,United States of America,00:41.0
1110,Athletics,Women's 4 x 100m Relay,rio-2016,SILVER,Jamaica,00:41.4
1111,Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Great Britain,00:41.8
1112,Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Germany,00:42.1
1113,Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Trinidad and Tobago,00:42.1
1114,Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Canada,00:43.1
1115,Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Nigeria,00:43.2
1116,Athletics,Women's 4 x 100m Relay,rio-2016,BRONZE,Ukraine,00:43.2
1117,Athletics,Men's 4 x 100m Relay,rio-2016,GOLD,Jamaica,00:37.3
1118,Athletics,Men's 4 x 100m Relay,rio-2016,SILVER,Japan,00:37.6
1119,Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,Canada,00:37.6
1120,Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,People's Republic of China,00:37.9
1121,Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,Great Britain,00:38.0
1122,Athletics,Men's 4 x 100m Relay,rio-2016,BRONZE,Brazil,00:38.4
1123,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,GOLD,United States of America,07:00.7
1124,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,SILVER,Great Britain,07:03.1
1125,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Japan,07:03.5
1126,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Australia,07:04.2
1127,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Russian Federation,07:05.7
1128,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Germany,07:07.3
1129,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Netherlands,07:09.1
1130,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Belgium,07:11.6
1131,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Italy,07:11.6
1132,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,South Africa,07:11.6
1133,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Spain,07:11.6
1134,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Denmark,07:11.6
1135,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,France,07:11.6
1136,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Brazil,07:11.6
1137,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Poland,07:11.6
1138,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Hungary,07:11.6
1139,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,GOLD,United States of America,07:43.0
1140,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,SILVER,Australia,07:44.9
1141,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Canada,07:45.4
1142,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,People's Republic of China,07:48.0
1143,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Sweden,07:50.3
1144,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Hungary,07:51.0
1145,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Russian Federation,07:53.3
1146,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Japan,07:56.8
1147,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Great Britain,07:56.8
1148,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,France,07:56.8
1149,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Brazil,07:56.8
1150,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Germany,07:56.8
1151,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Italy,07:56.8
1152,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Netherlands,07:56.8
1153,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Slovenia,07:56.8
1154,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,BRONZE,Spain,07:56.8
1155,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,GOLD,Australia,03:30.7
1156,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,SILVER,United States of America,03:31.9
1157,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Canada,03:32.9
1158,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Netherlands,03:33.8
1159,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Sweden,03:35.9
1160,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Italy,03:36.8
1161,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,France,03:37.4
1162,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Japan,03:37.8
1163,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,People's Republic of China,03:37.8
1164,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Russian Federation,03:37.8
1165,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Brazil,03:37.8
1166,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Denmark,03:37.8
1167,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Spain,03:37.8
1168,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Switzerland,03:37.8
1169,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Poland,03:37.8
1170,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Israel,03:37.8
1171,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,GOLD,United States of America,03:09.9
1172,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,SILVER,France,03:10.5
1173,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Australia,03:11.4
1174,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Russian Federation,03:11.6
1175,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Brazil,03:13.2
1176,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Belgium,03:13.6
1177,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Canada,03:14.3
1178,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Japan,03:14.5
1179,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Italy,03:14.5
1180,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Greece,03:14.5
1181,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Germany,03:14.5
1182,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Poland,03:14.5
1183,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Romania,03:14.5
1184,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,Hungary,03:14.5
1185,Swimming,Men's 4 x 100m Freestyle Relay,rio-2016,BRONZE,People's Republic of China,03:14.5
1186,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,GOLD,France,03:09.9
1187,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,SILVER,United States of America,03:10.4
1188,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Russian Federation,03:11.4
1189,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Australia,03:11.6
1190,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,South Africa,03:13.4
1191,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Germany,03:13.5
1192,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Italy,03:14.1
1193,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Belgium,03:14.4
1194,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Brazil,03:14.4
1195,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Canada,03:14.4
1196,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,People's Republic of China,03:14.4
1197,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Great Britain,03:14.4
1198,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Serbia,03:14.4
1199,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Hungary,03:14.4
1200,Swimming,Men's 4 x 100m Freestyle Relay,london-2012,BRONZE,Venezuela,03:14.4
1201,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,GOLD,United States of America,07:42.9
1202,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,SILVER,Australia,07:44.4
1203,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,France,07:47.5
1204,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Canada,07:50.7
1205,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Great Britain,07:52.4
1206,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,People's Republic of China,07:53.1
1207,Swimming,Women's 4 x 200m Freestyle Relay,london-2012,BRONZE,Italy,07:56.3
