Team_id,discipline_title,event_title,slug_game,country_name
1087,Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,Hungary
1088,Swimming,Women's 4 x 200m Freestyle Relay,tokyo-2020,France
1089,Athletics,Women's 4 x 400m Relay,rio-2016,United States of America
1090,Athletics,Women's 4 x 400m Relay,rio-2016,Jamaica
1091,Athletics,Women's 4 x 400m Relay,rio-2016,Great Britain
1092,Athletics,Women's 4 x 400m Relay,rio-2016,Canada
1093,Athletics,Women's 4 x 400m Relay,rio-2016,Italy
1094,Athletics,Women's 4 x 400m Relay,rio-2016,Poland
1095,Athletics,Women's 4 x 400m Relay,rio-2016,Australia
1096,Athletics,Women's 4 x 400m Relay,rio-2016,Ukraine
1097,Athletics,Women's 4 x 400m Relay,rio-2016,India
1098,Athletics,Men's 4 x 400m Relay,rio-2016,United States of America
1099,Athletics,Men's 4 x 400m Relay,rio-2016,Jamaica
1100,Athletics,Men's 4 x 400m Relay,rio-2016,Bahamas
1101,Athletics,Men's 4 x 400m Relay,rio-2016,Belgium
1102,Athletics,Men's 4 x 400m Relay,rio-2016,Botswana
1103,Athletics,Men's 4 x 400m Relay,rio-2016,Cuba
1104,Athletics,Men's 4 x 400m Relay,rio-2016,Poland
1105,Athletics,Men's 4 x 400m Relay,rio-2016,Brazil
1106,Athletics,Men's 4 x 400m Relay,rio-2016,Trinidad and Tobago
1107,Athletics,Men's 4 x 400m Relay,rio-2016,Great Britain
1108,Athletics,Men's 4 x 400m Relay,rio-2016,India
1109,Athletics,Women's 4 x 100m Relay,rio-2016,United States of America
1110,Athletics,Women's 4 x 100m Relay,rio-2016,Jamaica
1111,Athletics,Women's 4 x 100m Relay,rio-2016,Great Britain
1112,Athletics,Women's 4 x 100m Relay,rio-2016,Germany
1113,Athletics,Women's 4 x 100m Relay,rio-2016,Trinidad and Tobago
1114,Athletics,Women's 4 x 100m Relay,rio-2016,Canada
1115,Athletics,Women's 4 x 100m Relay,rio-2016,Nigeria
1116,Athletics,Women's 4 x 100m Relay,rio-2016,Ukraine
1117,Athletics,Men's 4 x 100m Relay,rio-2016,Jamaica
1118,Athletics,Men's 4 x 100m Relay,rio-2016,Japan
1119,Athletics,Men's 4 x 100m Relay,rio-2016,Canada
1120,Athletics,Men's 4 x 100m Relay,rio-2016,People's Republic of China
1121,Athletics,Men's 4 x 100m Relay,rio-2016,Great Britain
1122,Athletics,Men's 4 x 100m Relay,rio-2016,Brazil
1123,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,United States of America
1124,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Great Britain
1125,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Japan
1126,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Australia
1127,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Russian Federation
1128,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Germany
1129,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Netherlands
1130,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Belgium
1131,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Italy
1132,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,South Africa
1133,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Spain
1134,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Denmark
1135,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,France
1136,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Brazil
1137,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Poland
1138,Swimming,Men's 4 x 200m Freestyle Relay,rio-2016,Hungary
1139,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,United States of America
1140,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Australia
1141,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Canada
1142,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,People's Republic of China
1143,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Sweden
1144,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Hungary
1145,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Russian Federation
1146,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Japan
1147,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Great Britain
1148,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,France
1149,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Brazil
1150,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Germany
1151,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Italy
1152,Swimming,Women's 4 x 200m Freestyle Relay,rio-2016,Netherlands
